Rank,Country,Population_2023,YearlyChange,NetChange,Density_per_km2,Land_Area_km2,Migrants_net,Fert_Rate,Median_Age,UrbanPop_pct,WorldShare_pct,Region,Population_per_km2_calc
199,U.S. Virgin Islands,98750,-0.72,-715,282,350,-450,2.1,43.0,,0.0,North America,282.14285714285717
30,Uganda,48582334,2.82,1332749,243,199810,-126181,4.4,16.0,29.0,0.6,Africa,243.14265552274662
41,Ukraine,36744634,-7.45,-2957105,63,579320,1784718,1.3,45.0,82.0,0.46,Europe,63.42718014223573
96,United Arab Emirates,9516871,0.8,75742,114,83600,0,1.4,34.0,94.0,0.12,Asia,113.83816985645933
21,United Kingdom,67736802,0.34,227866,280,241930,165790,1.6,40.0,85.0,0.84,Europe,279.98512792956643
3,United States,339996563,0.5,1706706,37,9147420,999700,1.7,38.0,83.0,4.23,North America,37.16857463634555
135,Uruguay,3423108,0.01,314,20,175020,-1500,1.5,36.0,99.0,0.04,South America,19.55838189921152
43,Uzbekistan,35163944,1.55,536292,83,425400,-19999,2.8,27.0,49.0,0.44,Asia,82.66089327691584
183,Vanuatu,334506,2.38,7766,27,12190,0,3.7,20.0,24.0,0.0,Oceania,27.441017227235438
52,Venezuela,28838499,1.9,536803,33,882050,321106,2.2,28.0,,0.36,South America,32.6948574343858
16,Vietnam,98858950,0.68,672094,319,310070,-82700,1.9,33.0,40.0,1.23,Asia,318.82784532524914
225,Wallis & Futuna,11502,-0.6,-70,82,140,-119,1.9,37.0,0.0,0.0,Oceania,82.15714285714286
172,Western Sahara,587259,1.96,11273,2,266000,5600,2.2,32.0,95.0,0.01,Africa,2.2077406015037595
44,Yemen,34449825,2.24,753211,65,527970,-29914,3.6,19.0,37.0,0.43,Asia,65.24958804477527
63,Zambia,20569737,2.76,552062,28,743390,-5000,4.2,17.0,46.0,0.26,Africa,27.670182542138043
74,Zimbabwe,16665409,2.11,344872,43,386850,-9999,3.4,18.0,37.0,0.21,Africa,43.07976993666796
